Year,Region,State,County,Total percentAvg pay,AverageWage,Management percent,Management pay,Business and financial operations percent,Business and financial operations pay,Computer and mathematical percent,Computer and mathematical pay,Architecture and engineering percent,Architecture and engineering pay,"Life, physical, and social science percent","Life, physical, and social science pay",Community and social service percent,Community and social service pay,Legal percent,Legal pay,"Education, training, and library percent","Education, training, and library pay","Arts, design, entertainment, sports, and media percent","Arts, design, entertainment, sports, and media pay",Healthcare practitioners and technical percent,Healthcare practitioners and technical pay,Healthcare support percent,Healthcare support pay,Protective service percent,Protective service pay,Food preparation and serving related percent,Food preparation and serving related pay,Building and grounds cleaning and maintenance percent,Building and grounds cleaning and maintenance pay,Personal care and service percent,Personal care and service pay,Sales and related percent,Sales and related pay,Office and administrative support percent,Office and administrative support pay,"Farming, fishing, and forestry percent","Farming, fishing, and forestry pay",Construction and extraction percent,Construction and extraction pay,"Installation, maintenance, and repair percent","Installation, maintenance, and repair pay",Production percent,Production pay,Transportation and material moving percent,Transportation and material moving pay
May 2018,southeast,Alabama,Mobile,100,21.43,4,52.26,3.6,30.93,1.9,36.32,2.1,42.16,0.5,29.29,1,21.05,0.6,43.61,4.4,24.13,1.1,21.52,7.2,33.47,2.8,12.74,2,17.44,8.9,10.05,3.6,11.44,2.7,10.71,10.8,17.55,15.5,16.79,0.1,15.86,5.7,20.91,5.3,22.54,8.2,22.31,8,16.31
May 2019,southeast,Alabama,Mobile,100,21.67,4.2,52.57,3.7,31.22,1.9,36.08,1.8,42.84,0.6,30.23,0.9,21.42,0.6,38.27,3.8,23.65,1,22.21,7.1,34.29,3.5,12.37,2.1,17.96,9.2,10.35,3.4,11.37,1.9,11.35,10.9,17.86,14.2,17.22,0.1,14.49,5.9,21.3,5.8,23.13,8,22.6,9.4,16.06
May 2020,southeast,Alabama,Mobile,100,22.43,4.6,51.61,3.8,32.39,1.9,35.46,1.9,44.38,,31.17,1.1,21.32,0.7,,3.5,24.02,0.9,22.5,7.4,33.55,3.6,12.58,2.2,18.87,8.1,10.39,3.1,12.49,1.8,11.5,10.8,18.27,14.2,17.76,,13.56,6,21.64,5.9,23.41,8.3,23.13,9.4,16.41
May 2018,southeast,Alabama,Montgomery,100,20.44,4,49.04,4.7,34.22,2.5,38.7,1.7,34.06,0.7,28.76,1.2,23.94,1,45.29,5,22.45,1,23.14,6,31.34,2.5,13.24,3.5,18.54,8.5,9.88,3.1,12.23,3.1,11.46,10.4,15.79,15.6,16.53,0.2,16.33,3.1,18.86,4.6,22.34,9.6,16.6,8.2,14.47
May 2019,southeast,Alabama,Montgomery,100,20.92,4.9,48.35,4.6,33.59,2.6,37.83,1.6,34.56,0.8,30.07,1.2,21.39,1.1,46.69,4.9,23.43,1,23.5,6,32.16,3.2,12.08,3.3,19,8.7,10.06,2.9,12.21,2.2,13.04,10,16.02,14.4,17.24,0.2,16.43,3.2,19.1,4.4,22.35,9.5,16.22,9.3,14.83
May 2020,southeast,Alabama,Montgomery,100,21.78,5.5,48.7,5,33.61,2.8,38.21,1.8,35.44,0.8,30.04,1.3,22.57,1.2,42.43,4.6,24.35,1,22.06,6,32.62,2.9,12.45,3.4,19.36,8.2,10.31,3,12.46,2,13.15,9.5,16.98,14.2,17.66,0.2,15.88,3.3,19.77,4.7,22.71,9.4,16.96,9.2,15.4
May 2019,southeast,South Carolina,Myrtle Beach,100,18.14,4,42.21,2,29.3,0.9,30.67,0.6,33.6,0.3,36.82,0.8,21.77,0.5,38.96,5.5,23.72,0.9,23.21,5.2,36.99,3.2,13.31,2.8,17.86,18,11.19,6,12.19,3,12.01,15.8,14.68,11.8,16.14,0.1,15.08,4.6,18.97,4.4,19.39,2.5,18.85,7.2,14.91
May 2020,southeast,South Carolina,Myrtle Beach,100,18.87,4,45.86,2.4,32.22,1,31.57,0.7,33.06,0.4,33.33,1.1,21.7,0.6,37.02,5,21.15,0.8,24.52,5.3,37.17,3.3,14.2,2.9,19.09,16.7,11.15,5.2,12.91,3,12.75,15.1,15.46,13.3,16.54,0.1,16.18,4.7,19.3,4.2,19.9,2.8,19.3,7.4,15.81
May 2019,southeast,Florida,Naples,100,23.07,5.4,50.74,4.3,36.61,1,37.66,1,37.17,0.6,29.38,1,22.99,0.9,42.76,4,26.74,1.1,26.31,6.3,40.11,2.9,17.04,2,24.17,15,14.82,6.3,15.97,3.4,15.3,11.6,19.16,11.6,19.47,0.3,11.8,8,21,4.1,21.2,3,19.22,6.4,16.55
May 2020,southeast,Florida,Naples,100,24.06,5.4,53.1,4.8,36.22,1,36.56,1.1,38.4,0.5,37.47,1,23.73,1,41.73,4.1,27.68,1.1,25.26,6.2,39.26,3.4,16.97,1.9,25.83,13.9,15.62,6.5,16.95,3.1,15.64,11.3,20.82,11.9,20.28,0.3,13.27,8,21.44,4.4,22.38,3.2,19.74,6,17.48
